ID,Latitude,Longitude,Region,Data_date,Alert_Level,Prediction
1020023,13.575,144.825,guam_cnmi,2022-07-10,0,Nowcast
1020023,13.575,144.825,guam_cnmi,2022-08-07,2,4 week forecast
1020023,13.575,144.825,guam_cnmi,2022-09-04,2,8 week forecast
1020023,13.575,144.825,guam_cnmi,2022-10-02,1,12 week forecast
1020024,13.625,144.825,guam_cnmi,2022-07-10,0,Nowcast
1020024,13.625,144.825,guam_cnmi,2022-08-07,2,4 week forecast
1020024,13.625,144.825,guam_cnmi,2022-09-04,2,8 week forecast
1020024,13.625,144.825,guam_cnmi,2022-10-02,1,12 week forecast
1020025,13.675,144.825,guam_cnmi,2022-07-10,0,Nowcast
1020025,13.675,144.825,guam_cnmi,2022-08-07,2,4 week forecast
1020025,13.675,144.825,guam_cnmi,2022-09-04,2,8 week forecast
1020025,13.675,144.825,guam_cnmi,2022-10-02,1,12 week forecast
1020026,13.425,144.875,guam_cnmi,2022-07-10,0,Nowcast
1020026,13.425,144.875,guam_cnmi,2022-08-07,2,4 week forecast
1020026,13.425,144.875,guam_cnmi,2022-09-04,2,8 week forecast
1020026,13.425,144.875,guam_cnmi,2022-10-02,1,12 week forecast
1020027,13.475,144.875,guam_cnmi,2022-07-10,0,Nowcast
1020027,13.475,144.875,guam_cnmi,2022-08-07,2,4 week forecast
1020027,13.475,144.875,guam_cnmi,2022-09-04,2,8 week forecast
1020027,13.475,144.875,guam_cnmi,2022-10-02,1,12 week forecast
1020028,13.625,144.875,guam_cnmi,2022-07-10,1,Nowcast
1020028,13.625,144.875,guam_cnmi,2022-08-07,1,4 week forecast
1020028,13.625,144.875,guam_cnmi,2022-09-04,1,8 week forecast
1020028,13.625,144.875,guam_cnmi,2022-10-02,1,12 week forecast
1020029,13.675,144.875,guam_cnmi,2022-07-10,0,Nowcast
1020029,13.675,144.875,guam_cnmi,2022-08-07,2,4 week forecast
1020029,13.675,144.875,guam_cnmi,2022-09-04,2,8 week forecast
1020029,13.675,144.875,guam_cnmi,2022-10-02,1,12 week forecast
1020030,20.525,144.875,guam_cnmi,2022-07-10,0,Nowcast
1020030,20.525,144.875,guam_cnmi,2022-08-07,2,4 week forecast
1020030,20.525,144.875,guam_cnmi,2022-09-04,2,8 week forecast
1020030,20.525,144.875,guam_cnmi,2022-10-02,1,12 week forecast
1020031,20.575,144.875,guam_cnmi,2022-07-10,0,Nowcast
1020031,20.575,144.875,guam_cnmi,2022-08-07,2,4 week forecast
1020031,20.575,144.875,guam_cnmi,2022-09-04,2,8 week forecast
1020031,20.575,144.875,guam_cnmi,2022-10-02,1,12 week forecast
1020032,13.475,144.925,guam_cnmi,2022-07-10,0,Nowcast
1020032,13.475,144.925,guam_cnmi,2022-08-07,2,4 week forecast
1020032,13.475,144.925,guam_cnmi,2022-09-04,2,8 week forecast
1020032,13.475,144.925,guam_cnmi,2022-10-02,1,12 week forecast
1020033,13.525,144.925,guam_cnmi,2022-07-10,0,Nowcast
1020033,13.525,144.925,guam_cnmi,2022-08-07,2,4 week forecast
1020033,13.525,144.925,guam_cnmi,2022-09-04,2,8 week forecast
1020033,13.525,144.925,guam_cnmi,2022-10-02,1,12 week forecast
1020034,13.575,144.925,guam_cnmi,2022-07-10,1,Nowcast
1020034,13.575,144.925,guam_cnmi,2022-08-07,2,4 week forecast
1020034,13.575,144.925,guam_cnmi,2022-09-04,2,8 week forecast
1020034,13.575,144.925,guam_cnmi,2022-10-02,1,12 week forecast
1020035,13.625,144.925,guam_cnmi,2022-07-10,0,Nowcast
1020035,13.625,144.925,guam_cnmi,2022-08-07,2,4 week forecast
1020035,13.625,144.925,guam_cnmi,2022-09-04,2,8 week forecast
1020035,13.625,144.925,guam_cnmi,2022-10-02,1,12 week forecast
1020036,13.675,144.925,guam_cnmi,2022-07-10,0,Nowcast
1020036,13.675,144.925,guam_cnmi,2022-08-07,2,4 week forecast
1020036,13.675,144.925,guam_cnmi,2022-09-04,2,8 week forecast
1020036,13.675,144.925,guam_cnmi,2022-10-02,1,12 week forecast
1020037,20.525,144.925,guam_cnmi,2022-07-10,0,Nowcast
1020037,20.525,144.925,guam_cnmi,2022-08-07,2,4 week forecast
1020037,20.525,144.925,guam_cnmi,2022-09-04,2,8 week forecast
1020037,20.525,144.925,guam_cnmi,2022-10-02,1,12 week forecast
1020038,20.575,144.925,guam_cnmi,2022-07-10,0,Nowcast
1020038,20.575,144.925,guam_cnmi,2022-08-07,2,4 week forecast
1020038,20.575,144.925,guam_cnmi,2022-09-04,2,8 week forecast
1020038,20.575,144.925,guam_cnmi,2022-10-02,1,12 week forecast
1020039,13.525,144.975,guam_cnmi,2022-07-10,0,Nowcast
1020039,13.525,144.975,guam_cnmi,2022-08-07,2,4 week forecast
1020039,13.525,144.975,guam_cnmi,2022-09-04,2,8 week forecast
1020039,13.525,144.975,guam_cnmi,2022-10-02,1,12 week forecast
1020040,13.575,144.975,guam_cnmi,2022-07-10,0,Nowcast
1020040,13.575,144.975,guam_cnmi,2022-08-07,2,4 week forecast
1020040,13.575,144.975,guam_cnmi,2022-09-04,2,8 week forecast
1020040,13.575,144.975,guam_cnmi,2022-10-02,1,12 week forecast
1020041,13.625,144.975,guam_cnmi,2022-07-10,0,Nowcast
1020041,13.625,144.975,guam_cnmi,2022-08-07,2,4 week forecast
1020041,13.625,144.975,guam_cnmi,2022-09-04,2,8 week forecast
1020041,13.625,144.975,guam_cnmi,2022-10-02,1,12 week forecast
1020042,14.075,145.125,guam_cnmi,2022-07-10,0,Nowcast
1020042,14.075,145.125,guam_cnmi,2022-08-07,0,4 week forecast
1020042,14.075,145.125,guam_cnmi,2022-09-04,2,8 week forecast
1020042,14.075,145.125,guam_cnmi,2022-10-02,1,12 week forecast
1020043,14.125,145.125,guam_cnmi,2022-07-10,0,Nowcast
1020043,14.125,145.125,guam_cnmi,2022-08-07,0,4 week forecast
1020043,14.125,145.125,guam_cnmi,2022-09-04,2,8 week forecast
1020043,14.125,145.125,guam_cnmi,2022-10-02,1,12 week forecast
1020044,14.175,145.125,guam_cnmi,2022-07-10,0,Nowcast
1020044,14.175,145.125,guam_cnmi,2022-08-07,0,4 week forecast
1020044,14.175,145.125,guam_cnmi,2022-09-04,2,8 week forecast
1020044,14.175,145.125,guam_cnmi,2022-10-02,1,12 week forecast
1020045,14.075,145.175,guam_cnmi,2022-07-10,0,Nowcast
1020045,14.075,145.175,guam_cnmi,2022-08-07,0,4 week forecast
1020045,14.075,145.175,guam_cnmi,2022-09-04,2,8 week forecast
1020045,14.075,145.175,guam_cnmi,2022-10-02,1,12 week forecast
1020046,14.175,145.175,guam_cnmi,2022-07-10,0,Nowcast
1020046,14.175,145.175,guam_cnmi,2022-08-07,1,4 week forecast
1020046,14.175,145.175,guam_cnmi,2022-09-04,2,8 week forecast
1020046,14.175,145.175,guam_cnmi,2022-10-02,1,12 week forecast
1020047,14.225,145.175,guam_cnmi,2022-07-10,0,Nowcast
1020047,14.225,145.175,guam_cnmi,2022-08-07,0,4 week forecast
1020047,14.225,145.175,guam_cnmi,2022-09-04,2,8 week forecast
1020047,14.225,145.175,guam_cnmi,2022-10-02,1,12 week forecast
1020048,19.975,145.175,guam_cnmi,2022-07-10,0,Nowcast
1020048,19.975,145.175,guam_cnmi,2022-08-07,0,4 week forecast
1020048,19.975,145.175,guam_cnmi,2022-09-04,2,8 week forecast
1020048,19.975,145.175,guam_cnmi,2022-10-02,1,12 week forecast
1020049,20.025,145.175,guam_cnmi,2022-07-10,0,Nowcast
1020049,20.025,145.175,guam_cnmi,2022-08-07,0,4 week forecast
1020049,20.025,145.175,guam_cnmi,2022-09-04,2,8 week forecast
1020049,20.025,145.175,guam_cnmi,2022-10-02,1,12 week forecast
1020050,20.075,145.175,guam_cnmi,2022-07-10,0,Nowcast
1020050,20.075,145.175,guam_cnmi,2022-08-07,0,4 week forecast
1020050,20.075,145.175,guam_cnmi,2022-09-04,2,8 week forecast
1020050,20.075,145.175,guam_cnmi,2022-10-02,1,12 week forecast
1020051,14.075,145.225,guam_cnmi,2022-07-10,0,Nowcast
1020051,14.075,145.225,guam_cnmi,2022-08-07,0,4 week forecast
1020051,14.075,145.225,guam_cnmi,2022-09-04,2,8 week forecast
